epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,87.6248,0.68981,0.71769,0.99451,0.95791,0.58377,0.68939,0.52249,1.47027,1.62284,1.30244,0.001109,0.001109,0.001109
20,92.0176,0.66615,0.68195,1.00432,0.90825,0.5641,0.67346,0.52732,1.45078,1.56247,1.28622,0.0010595,0.0010595,0.0010595
21,96.3698,0.67136,0.68857,0.99729,0.89964,0.5641,0.69622,0.54808,1.49114,1.57566,1.3157,0.00101,0.00101,0.00101
22,100.654,0.66355,0.64511,0.97342,0.81434,0.61538,0.70285,0.5579,1.35862,1.53805,1.23449,0.0009605,0.0009605,0.0009605
23,105.021,0.62343,0.64237,0.94156,0.82738,0.64103,0.73621,0.56709,1.23906,1.47021,1.16643,0.000911,0.000911,0.000911
24,109.418,0.65719,0.6674,0.98789,0.82823,0.64103,0.73815,0.56535,1.23927,1.51514,1.16378,0.0008615,0.0008615,0.0008615
25,113.775,0.5776,0.59712,0.94901,0.89802,0.5641,0.70408,0.54419,1.23937,1.43098,1.16687,0.000812,0.000812,0.000812
26,118.186,0.63522,0.63161,0.98175,0.89877,0.5641,0.66544,0.51026,1.23865,1.40328,1.18307,0.0007625,0.0007625,0.0007625
27,122.544,0.60407,0.61687,0.92705,0.90663,0.5641,0.65664,0.48201,1.29196,1.37195,1.23804,0.000713,0.000713,0.000713
28,126.871,0.63337,0.63789,0.96833,0.81141,0.58974,0.65462,0.48839,1.30577,1.37274,1.25014,0.0006635,0.0006635,0.0006635
29,131.248,0.59158,0.58487,0.93816,0.89024,0.53846,0.64069,0.49373,1.28789,1.34899,1.21256,0.000614,0.000614,0.000614
30,135.564,0.59141,0.58045,0.9469,0.8885,0.53846,0.64965,0.50609,1.25405,1.31308,1.19466,0.0005645,0.0005645,0.0005645
31,149.874,0.49489,0.53867,0.86555,0.89441,0.5641,0.64602,0.52459,1.20451,1.34835,1.19607,0.000515,0.000515,0.000515
32,154.513,0.48417,0.54488,0.88179,0.94571,0.5641,0.64775,0.52841,1.22228,1.42664,1.2043,0.0004655,0.0004655,0.0004655
33,158.938,0.48792,0.52537,0.89249,0.94445,0.5641,0.6347,0.51072,1.34516,1.5483,1.25498,0.000416,0.000416,0.000416
34,163.362,0.47488,0.52517,0.86335,0.94418,0.5641,0.63446,0.50437,1.37536,1.51024,1.26938,0.0003665,0.0003665,0.0003665
35,167.83,0.44806,0.50928,0.86338,0.94617,0.5641,0.65346,0.52235,1.35239,1.32395,1.24593,0.000317,0.000317,0.000317
36,172.059,0.43354,0.49716,0.84417,0.94358,0.5641,0.66092,0.53231,1.30876,1.23786,1.22377,0.0002675,0.0002675,0.0002675
37,176.456,0.42914,0.49624,0.86864,0.97839,0.58974,0.73008,0.55778,1.27715,1.17815,1.20648,0.000218,0.000218,0.000218
38,180.841,0.46615,0.48686,0.85897,0.9794,0.58974,0.7301,0.55828,1.26137,1.177,1.19717,0.0001685,0.0001685,0.0001685
39,185.242,0.43603,0.4793,0.8397,0.98757,0.58974,0.72352,0.55134,1.26654,1.20165,1.20619,0.000119,0.000119,0.000119
40,189.521,0.44119,0.46991,0.85904,0.94658,0.5641,0.6724,0.54258,1.24873,1.21775,1.196,6.95e-05,6.95e-05,6.95e-05
