epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.41868,0.6907,1.25641,1.02693,0.78916,0.58974,0.69762,0.55707,1.25465,1.60196,1.09466,0.00022,0.00022,0.00022
2,13.3538,0.74183,1.14977,1.06218,0.8104,0.53846,0.70172,0.57135,1.18415,1.62469,1.04323,0.000448615,0.000448615,0.000448615
3,18.0255,0.72064,1.11195,1.05553,0.91245,0.53464,0.71172,0.56298,1.15303,1.57244,1.07009,0.00066535,0.00066535,0.00066535
4,22.5488,0.69538,1.00701,0.99068,0.87489,0.53797,0.6841,0.56257,1.23802,1.70057,1.11742,0.000870205,0.000870205,0.000870205
5,26.9736,0.663,0.99443,1.00382,0.73142,0.69231,0.77004,0.58195,1.26729,1.55656,1.12495,0.00106318,0.00106318,0.00106318
6,31.441,0.72171,0.97149,1.02334,0.82459,0.66667,0.73632,0.57646,1.34436,1.62037,1.14647,0.00124427,0.00124427,0.00124427
7,35.7976,0.71124,0.93749,0.99968,0.86919,0.6817,0.73989,0.58902,1.36576,1.59486,1.15688,0.00141349,0.00141349,0.00141349
8,40.1368,0.73692,0.92537,1.01788,0.88868,0.61414,0.7236,0.58347,1.4345,1.61751,1.21299,0.00157083,0.00157083,0.00157083
9,44.4438,0.69213,0.90195,1.00146,0.8677,0.58974,0.69986,0.56377,1.21033,1.42959,1.11271,0.001604,0.001604,0.001604
10,48.7005,0.72441,0.84606,1.01138,0.87983,0.56323,0.70045,0.55274,1.22881,1.42075,1.15021,0.0015545,0.0015545,0.0015545
11,53.0752,0.7088,0.84329,0.99572,0.76688,0.59048,0.68091,0.5385,1.19477,1.30734,1.18173,0.001505,0.001505,0.001505
12,57.3675,0.72063,0.81911,1.01802,0.86938,0.58974,0.67716,0.53351,1.14156,1.29322,1.19271,0.0014555,0.0014555,0.0014555
13,61.6807,0.72247,0.81507,1.02637,0.81758,0.57484,0.67275,0.55115,1.29053,1.62699,1.26253,0.001406,0.001406,0.001406
14,66.0188,0.64908,0.741,0.95416,0.95262,0.61538,0.6852,0.55059,1.31888,1.59958,1.26061,0.0013565,0.0013565,0.0013565
15,70.3994,0.70237,0.7916,1.00567,0.84359,0.5641,0.70574,0.54548,1.35989,1.42734,1.18592,0.001307,0.001307,0.001307
16,74.6519,0.6863,0.72764,0.99025,0.84962,0.64103,0.73241,0.54309,1.34382,1.34729,1.14879,0.0012575,0.0012575,0.0012575
17,79.0253,0.6965,0.73559,0.98228,0.95042,0.58974,0.70173,0.52091,1.42761,1.51225,1.20602,0.001208,0.001208,0.001208
18,83.3285,0.60594,0.66748,0.95887,0.94238,0.5641,0.64494,0.50828,1.40589,1.5492,1.22193,0.0011585,0.0011585,0.0011585
