epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,891.91,1.29079,1.6357,1.24281,0.57074,0.4423,0.46413,0.29812,1.44376,1.56936,1.30921,0.000370173,0.000370173,0.000370173
2,1762.78,1.41502,1.68722,1.32202,0.58922,0.45374,0.49251,0.31923,1.37916,1.52499,1.26573,0.000720759,0.000720759,0.000720759
3,2626.9,1.39937,1.64829,1.31543,0.60547,0.46393,0.5048,0.3321,1.34564,1.41437,1.25044,0.00105159,0.00105159,0.00105159
4,3510.53,1.35275,1.5568,1.28465,0.61676,0.46912,0.53358,0.35825,1.30741,1.35651,1.22959,0.00102212,0.00102212,0.00102212
5,4371.48,1.31189,1.48431,1.26002,0.61879,0.49169,0.54265,0.37147,1.27164,1.27904,1.19744,0.000992493,0.000992493,0.000992493
6,5246.39,1.27476,1.41608,1.23826,0.65963,0.51688,0.57844,0.39197,1.24662,1.23785,1.18174,0.000962867,0.000962867,0.000962867
7,6108.32,1.24758,1.36621,1.22001,0.71225,0.51546,0.60091,0.41579,1.21672,1.19097,1.16988,0.00093324,0.00093324,0.00093324
8,6993.67,1.22887,1.32501,1.2081,0.69112,0.51665,0.5976,0.41311,1.20088,1.19246,1.16053,0.000903613,0.000903613,0.000903613
9,7870.51,1.20152,1.2887,1.19727,0.66062,0.53338,0.60339,0.42056,1.17882,1.14137,1.14705,0.000873987,0.000873987,0.000873987
10,8767.51,1.18609,1.25706,1.18315,0.71781,0.54906,0.62663,0.44101,1.18187,1.12716,1.14528,0.00084436,0.00084436,0.00084436
11,9640.5,1.17205,1.22196,1.17766,0.72617,0.55979,0.64295,0.45566,1.16015,1.09406,1.13225,0.000814733,0.000814733,0.000814733
12,10528.5,1.15719,1.1901,1.16621,0.70365,0.58068,0.64159,0.45633,1.15068,1.07859,1.12379,0.000785107,0.000785107,0.000785107
13,11401,1.14014,1.17324,1.15834,0.73432,0.57064,0.65688,0.46448,1.14327,1.06225,1.12437,0.00075548,0.00075548,0.00075548
14,23605.2,1.12468,1.1469,1.14976,0.73782,0.58477,0.66291,0.47136,1.13022,1.04629,1.11377,0.000725853,0.000725853,0.000725853
15,24485.4,1.1119,1.11746,1.13973,0.7622,0.56395,0.66489,0.47549,1.13753,1.02555,1.12099,0.000696227,0.000696227,0.000696227
16,25382,1.10585,1.10336,1.13696,0.71625,0.59382,0.6669,0.47955,1.11949,1.012,1.10537,0.0006666,0.0006666,0.0006666
17,26247.3,1.09284,1.08936,1.13119,0.7181,0.61755,0.67919,0.48404,1.10908,1.00504,1.09759,0.000636973,0.000636973,0.000636973
18,27139,1.08221,1.06859,1.12404,0.73146,0.59876,0.68625,0.49457,1.10618,0.99243,1.09517,0.000607347,0.000607347,0.000607347
19,28012.6,1.07239,1.0415,1.11698,0.76842,0.59091,0.69103,0.50027,1.10174,0.98105,1.0914,0.00057772,0.00057772,0.00057772
20,28900.3,1.06579,1.03086,1.11297,0.76163,0.61005,0.69278,0.50339,1.10035,0.97958,1.09575,0.000548093,0.000548093,0.000548093
21,29773.9,1.06052,0.96294,1.09425,0.74793,0.60895,0.68967,0.48953,1.10323,0.99167,1.09754,0.000518467,0.000518467,0.000518467
22,30674.6,1.05065,0.94422,1.08636,0.73756,0.59701,0.68982,0.49731,1.10904,0.97743,1.10707,0.00048884,0.00048884,0.00048884
23,31580.1,1.03646,0.92441,1.07917,0.71761,0.61094,0.69029,0.50203,1.09294,0.97253,1.09364,0.000459213,0.000459213,0.000459213
24,32497.6,1.02205,0.90292,1.07134,0.75569,0.59835,0.69081,0.49765,1.0923,0.96341,1.09245,0.000429587,0.000429587,0.000429587
25,33394.8,1.01914,0.89587,1.06936,0.77377,0.59739,0.69565,0.50392,1.08685,0.95168,1.09384,0.00039996,0.00039996,0.00039996
26,34283.3,1.00585,0.8716,1.06261,0.7599,0.60825,0.69648,0.50411,1.07281,0.94671,1.08334,0.000370333,0.000370333,0.000370333
27,35145.3,0.999,0.85934,1.05777,0.77715,0.59825,0.69752,0.50964,1.07528,0.9481,1.08522,0.000340707,0.000340707,0.000340707
28,36023.9,0.98785,0.84447,1.05244,0.753,0.62104,0.70301,0.51402,1.07094,0.93389,1.08406,0.00031108,0.00031108,0.00031108
29,36891.6,0.97645,0.82259,1.04427,0.75325,0.61538,0.69858,0.50972,1.06969,0.93198,1.07959,0.000281453,0.000281453,0.000281453
30,37776.9,0.97001,0.81062,1.04115,0.77863,0.61217,0.70672,0.51267,1.07049,0.92158,1.07693,0.000251827,0.000251827,0.000251827
