epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0828,0.80919,2.96684,1.09537,0.42714,0.36336,0.28652,0.19032,1.15093,2.60375,1.13432,0.00022,0.00022,0.00022
2,23.9841,0.77756,2.35392,1.10764,0.41618,0.51282,0.51671,0.40442,1.20626,2.19895,1.10951,0.00041446,0.00041446,0.00041446
3,28.5826,0.71935,1.79819,1.01555,0.54458,0.69231,0.64527,0.48728,1.23221,1.78945,1.10264,0.0005614,0.0005614,0.0005614
4,33.0457,0.69223,1.5852,0.99637,0.57259,0.75583,0.68166,0.50843,1.28118,1.63675,1.13753,0.00066082,0.00066082,0.00066082
5,37.5544,0.68632,1.44868,0.9793,0.66275,0.76923,0.70819,0.50733,1.37476,1.59778,1.14199,0.00071272,0.00071272,0.00071272
6,41.9408,0.69787,1.3667,1.00187,0.6666,0.71772,0.72814,0.56167,1.18563,1.47817,1.05909,0.0007171,0.0007171,0.0007171
7,46.356,0.64102,1.28903,0.96799,0.75341,0.62693,0.73444,0.56388,1.16529,1.4251,1.04361,0.00067396,0.00067396,0.00067396
8,50.7651,0.65679,1.24517,0.94681,0.88506,0.5924,0.73154,0.57892,1.20668,1.47655,1.07483,0.0005833,0.0005833,0.0005833
9,55.162,0.61929,1.15902,0.94007,0.87222,0.61538,0.7307,0.57345,1.27487,1.48829,1.07745,0.000416,0.000416,0.000416
10,59.6424,0.68383,1.19163,0.97433,0.88611,0.59871,0.73238,0.57404,1.21938,1.46763,1.05413,0.000218,0.000218,0.000218
